wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
10500,15-Aug-91,,5-Aug-96,8,5,1996,5-Aug-96,1817,,1817,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,F,2,,,1923,,,1995-96,
10501,15-Aug-91,8-Jun-94,8-Jun-94,6,8,1994,,,,1028,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,M,,,,,,,1993-94,"PALCED BACK IN CAPTIVITY BECAUSE HE MAY BE CONSORTING WITH COYOTE, WILL TRY TO RE-RELEASE HIM DURING DECEMBER 1994 WITH A FEMALE WOLF"
10502,23-Aug-91,21-Mar-98,21-Mar-98,3,21,1998,,,2402,2402,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,F,,6.893150685,2516,,,,1997-98,
10503,18-Oct-91,21-Nov-98,21-Nov-98,11,21,1998,,,2591,2591,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,1,F,,7.564383562,2761,,,,1998-99,
10504,18-Oct-91,3-Apr-95,3-Apr-95,4,3,1995,,,,1263,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,M,,,,,,,1994-95,WOLF W/COLLAR 4.730 CAPTURED (504M); PLACED IN PEN AT SR PENDING 496 CAPTURE; BOTH TO BE SHIPPED TO GSMNP
10505,31-Oct-91,,5-Oct-01,10,5,2001,5-Oct-01,3627,,3627,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,F,2,,,3813,,,2001-02,
10506,14-Nov-91,,21-Jul-95,7,21,1995,21-Jul-95,1345,,1345,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,M,2,,,1545,,,1994-95,
10507,17-Nov-91,29-Jul-95,29-Jul-95,7,29,1995,,,1350,1350,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,M,,4.254794521,1553,,,,1994-95,
10508,2-Aug-92,9-Feb-04,9-Feb-04,2,9,2004,,,4208,4208,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,F,,12.79452055,4670,,,,2003-04,
10518,3-Aug-92,17-Oct-93,17-Oct-93,10,17,1993,,,440,440,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,1,M,,1.509589041,551,,,,1993-94,
10519,3-Aug-92,22-Jun-96,22-Jun-96,6,22,1996,,,1419,1419,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,M,,4.191780822,1530,,,,1995-96,
